name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,new PE ratio,new roe,new roa,aquirer multiple,normalized aquirer multiple,address
DBS,25.89,27.4,0.0,19 May 2019,70251860000.0,2550000000.0,99.45%,2.12,73360000.0,24.39043,24.38836,12.052436588921283,4.581946933649032,11.238184766763847,1.425,4.38,3.838,27126000000.0,35560000.0,97377860000.0,550751000000.0,0.0,11.38,1.058,-533000000.0,0.0,13798000000.0,0.0,48.784,5491000000.0,41.413999999999994,7.196000000000001,7.7,0.0,12.023219814241486,0.0,0.009970022750753062,0.05638858771388075,459.13545718448376,https://www2.sgx.com/securities/equities/D05
OCBC Bank,11.15,11.77,0.0,19 May 2019,50102180000.0,4250000000.0,72.29%,1.05,105760000.0,11.23421,11.23019,10.518419931856899,2.135970444236133,9.339787052810903,1.187,3.653,3.617,-27510920000.0,71840000.0,40324640000.0,467542990000.0,0.0,11.022,1.016,-297200000.0,0.0,11049280000.0,0.0,26.241999999999997,4472990000.0,22.092,2.309,7.0489999999999995,0.0,10.594143961868907,0.0,0.009567013292189452,0.11092448686460685,100.51883326365586,https://www2.sgx.com/securities/equities/O39
Genting Sing,0.89,0.96,0.0,19 May 2019,11610270000.0,12050000000.0,47.02%,0.06,758210000.0,0.99765,0.99752,14.125637305699481,3.8889432736449305,9.999357512953368,1.4869999999999999,3.6460000000000004,2.48,-3175670000.0,10690000.0,8434600000.0,9767140000.0,4214240000.0,9.924,7.797999999999999,-122100000.0,0.0,2539240000.0,975190000.0,38.405,755390000.0,29.749000000000002,-1.926,5.452999999999999,0.0,14.19730205589166,0.044027965180494316,0.0773399377914108,0.08955848528679487,9.937640159387865,https://www2.sgx.com/securities/equities/G13
UOB,24.98,26.8,0.0,19 May 2019,45038510000.0,1670000000.0,76.31%,2.33,46510000.0,25.13615,25.12503,10.647562731997029,4.052165037210464,9.728662212323684,1.187,3.7310000000000003,3.383,-44808720000.0,81350000.0,229790000.0,388092360000.0,0.0,10.465,1.077,-516470000.0,0.0,11139960000.0,0.0,50.488,3896940000.0,42.06100000000001,5.504,4.865,0.0,10.704963381524992,0.0,0.010041269557586757,16.958701423038427,1.4729901409824118,https://www2.sgx.com/securities/equities/U11
SingTel,3.14,3.15,0.0,19 May 2019,51436850000.0,16320000000.0,94.80%,0.23,343480000.0,3.03567,3.03525,16.652031948881792,2.982969551592852,9.684843450479235,1.778,5.556,4.565,10003300000.0,29020000.0,61342150000.0,48253700000.0,524900000.0,18.847,6.32,-3473400000.0,0.0,17356100000.0,4689400000.0,14.876,3102100000.0,17.764,-1.179,8.718,0.0,16.519390090583798,0.08000196001062532,0.0642872981760984,0.05057044788942024,62.091599561587316,https://www2.sgx.com/securities/equities/Z74
YZJ Shipbldg SGD,1.47,1.6,0.0,19 May 2019,6355390000.0,3950000000.0,61.14%,0.2,458140000.0,1.34882,1.34834,7.983018749999999,1.1420694140625,6.983418749999999,1.081,2.813,0.0,-2945740000.0,10020000.0,3415330000.0,44911480000.0,18615420000.0,13.199000000000002,8.209,-493010000.0,0.0,4697820000.0,4565000000.0,19.644000000000002,730610000.0,15.594000000000001,9.434,2.484,0.0,7.947468553674327,0.010991138609809992,0.016267778305235098,0.21392076314733863,6.871703234283681,https://www2.sgx.com/securities/equities/BS6
Keppel Corp,6.34,6.74,0.0,19 May 2019,12288600000.0,1820000000.0,99.05%,0.31,60200000.0,6.17726,6.17659,14.19637113402062,1.7776906695933767,10.804144329896907,1.062,3.7089999999999996,4.356,8598940000.0,53800000.0,17879470000.0,26606330000.0,1957640000.0,8.308,2.9530000000000003,-254510000.0,0.0,6025530000.0,1042569999.9999999,14.872,809100000.0,14.245999999999999,-13.776,-12.743,0.0,14.261277963168952,0.04052585946527503,0.03041005655421097,0.04525301924497762,140.10114917809912,https://www2.sgx.com/securities/equities/BN4
CapitaLand,3.33,3.64,0.0,19 May 2019,15558760000.0,4160000000.0,99.52%,0.39,164050000.0,3.31305,3.31373,8.52734059945504,2.286294745673366,4.8271389645776575,0.8,3.2969999999999997,3.186,18574110000.0,107850000.0,34132870000.000004,64647560000.0,5059840000.0,9.434,4.5169999999999995,-89350000.0,0.0,5602420000.0,3185590000.0,56.861000000000004,1762490000.0,50.867,9.327,15.876,0.0,7.859789275400144,0.034468542900329704,0.02726305524910762,0.051636150139147394,64.48970326072772,https://www2.sgx.com/securities/equities/C31
UOL,7.05,7.67,0.0,19 May 2019,6483680000.0,843090000.0,54.63%,0.55,30360000.0,6.43849,6.43883,13.420210727969348,2.1929159143289145,7.406551724137931,0.67,2.282,2.336,4032640000.0,29710000.0,10516330000.0,20663710000.0,677170000.0,4.542,3.037,-310080000.0,0.0,2397340000.0,710090000.0,29.62,433720000.0,25.52,15.689,-12.769,0.0,13.70419740846629,0.02505858481278281,0.020989454459049223,0.04124252472107665,170.94006847735864,https://www2.sgx.com/securities/equities/U14
SGX,7.41,7.33,0.0,19 May 2019,7855140000.0,1070000000.0000001,76.42%,0.34,65140000.0,7.37965,7.37971,21.462644322845417,9.297244536932897,18.382071135430916,8.202,4.775,3.847,-703740000.0,0.0,7283540000.0,2114940000.0,571600000.0,34.123000000000005,20.971,-78570000.0,0.0,868190000.0,424900000.0,50.214,371730000.0,42.817,3.362,1.5519999999999998,0.0,21.329190541522074,0.10964581096546598,0.17576385145677892,0.051036995746573784,145.18879670728754,https://www2.sgx.com/securities/equities/S68
